tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
117.00;27028176#1_0;89.92;10.95;91.00;0.00;444013695#2_0;5.10;0.00;tripinfo_91;26.00;91;0;232.58;1.00;5.90;DEFAULT_VEHTYPE;;0
119.00;244757077_0;57.09;10.06;15.00;0.00;27103144#0_0;5.10;0.00;tripinfo_15;104.00;15;0;1096.52;1.00;11.53;DEFAULT_VEHTYPE;;0
120.00;-208004245_1;32.66;13.35;22.00;0.00;326467642_0;5.10;0.00;tripinfo_22;98.00;22;0;875.24;1.00;20.46;DEFAULT_VEHTYPE;;2
120.00;287533429#0_0;259.83;16.40;48.00;0.00;407596050#2_0;5.10;0.00;tripinfo_48;72.00;48;0;745.35;1.00;7.67;DEFAULT_VEHTYPE;;0
120.00;444048533_0;109.97;10.45;57.00;0.00;444048536#1_0;5.10;0.00;tripinfo_57;63.00;57;0;768.30;1.00;6.28;DEFAULT_VEHTYPE;;0
120.00;208928173#0_0;23.28;13.72;13.00;0.00;350274432_0;5.10;0.00;tripinfo_13;107.00;13;0;1168.31;1.00;15.78;DEFAULT_VEHTYPE;;0
123.00;326467641#0_0;44.16;10.08;18.00;0.00;451653573#0_0;5.10;0.00;tripinfo_18;105.00;18;0;1216.99;1.00;22.79;DEFAULT_VEHTYPE;;0
129.00;326309716#1_0;80.00;7.08;21.00;0.00;27026401#0_0;5.10;0.00;tripinfo_21;108.00;21;0;985.45;1.00;14.91;DEFAULT_VEHTYPE;;0
129.00;326467647_0;3.50;9.54;6.00;0.00;287533469#5_0;5.10;0.00;tripinfo_6;123.00;6;0;1137.62;1.00;20.51;DEFAULT_VEHTYPE;;0
131.00;219276440#4_0;97.49;10.48;53.00;0.00;326309697_0;5.10;0.00;tripinfo_53;78.00;53;0;760.73;1.00;8.74;DEFAULT_VEHTYPE;;0
